CIK,Name,Year,Accounts payable,Accrued liabilities,Additional Paid-in capital,"Common stock, par value",Current liabilities,Government and agency securities obligations,Income tax payable,Long-term borrowing,Other equity,Other liabilities,Payable to Broker/Dealers,Payable to customers and counterparties,Payable to parent and affiliates,Repurchase Agreements (repo),Retained (Accumulated) earnings,Securities borrowed,Securities sold short,Short-term borrowing,Subordinated liabilities,Total liabilities,Total liabilities and shareholder's equity,Total shareholder's equity,Treasury stock
851376,BARCLAYS CAPITAL INC. ,2002,,104821154042.0,,,,,,,,,3991601.0,1289004.0,,57848067.0,,,6205940.0,2505345.0,287000.0,,72638615.0,252795.0,
851376,BARCLAYS CAPITAL INC. ,2003,230905.0,,,,,,,,,161983.0,2859002.0,1247590.0,,79230991.0,,,16856266.0,2173984.0,287000.0,,103369408.0,321687.0,
851376,BARCLAYS CAPITAL INC. ,2004,,235585.0,,,,,,,,215704.0,7580823.0,1080390.0,,85154658.0,,,15492425.0,3129638.0,487000.0,,113650937.0,274714.0,
851376,BARCLAYS CAPITAL INC. ,2005,,693499.0,,,,,,,,319300.0,9938339.0,2778726.0,,123246090.0,,,32073512.0,4648584.0,487000.0,,174937091.0,752041.0,
851376,BARCLAYS CAPITAL INC. ,2006,,445806.0,,,,,,,,389767.0,8885985.0,3161237.0,,152913563.0,,,23136048.0,4347715.0,487000.0,,194436796.0,669675.0,
851376,BARCLAYS CAPITAL INC. ,2008,,318108.0,2535610.0,10.0,,,,,,932270.0,8756749.0,8646714.0,,250514980.0,,,22501152.0,3615823.0,,295746672.0,297821416.0,2074744.0,
851376,BARCLAYS CAPITAL INC. ,2009,,169593.0,6072030.0,10.0,,,,,,715621.0,11467155.0,9655384.0,,185835730.0,393034.0,,20943091.0,2677479.0,2500000.0,231480140.0,240429127.0,6448987.0,
851376,BARCLAYS CAPITAL INC. ,2010,,184.0,6073.0,,,,,,,25969.0,10361.0,9256.0,,245143.0,1765.0,,25303.0,322.0,2500.0,316546.0,326876.0,7830.0,
851376,BARCLAYS CAPITAL INC. ,2011,,293.0,6085.0,,,,,,,17347.0,6464.0,9247.0,,242690.0,1267.0,,43996.0,218.0,2500.0,320264.0,330107.0,7343.0,
851376,BARCLAYS CAPITAL INC. ,2012,,182.0,6186.0,,,,,,,21514.0,4376.0,15081.0,,222559.0,827.0,,29051.0,4200.0,2500.0,296990.0,306476.0,6986.0,
851376,BARCLAYS CAPITAL INC. ,2013,,134.0,6253.0,,,,,7900.0,,22145.0,3139.0,17922.0,,220591.0,1029.0,,21654.0,5796.0,2500.0,299299.0,309063.0,7264.0,
851376,BARCLAYS CAPITAL INC. ,2014,,203.0,6281.0,,,,,7900.0,,42594.0,3391.0,23048.0,,193133.0,,,29803.0,6983.0,2500.0,,303606.0,7635.0,
851376,BARCLAYS CAPITAL INC. ,2015,,111.0,6308.0,,,,,7900.0,,48066.0,1803.0,25226.0,,134150.0,1561.0,,19558.0,843.0,2500.0,,248026.0,7857.0,
851376,BARCLAYS CAPITAL INC. ,2016,,79.0,6390.0,,,,,4900.0,,36597.0,1273.0,30051.0,,77678.0,726.0,,11429.0,466.0,2500.0,164983.0,172089.0,7106.0,
851376,BARCLAYS CAPITAL INC. ,2017,,115.0,6397.0,,,,,4900.0,,35043.0,2379.0,30278.0,,57771.0,1044.0,,11496.0,588.0,2500.0,145080.0,152511.0,7431.0,
851376,BARCLAYS CAPITAL INC. ,2018,,170.0,6672.0,,,,,5450.0,,1435.0,1753.0,26943.0,,50779.0,850.0,,7372.0,2536.0,2500.0,98948.0,106460.0,7512.0,
851376,BARCLAYS CAPITAL INC. ,2019,,76.0,6677.0,,,,,7300.0,,1106.0,1088.0,30115.0,,49402.0,245.0,,6187.0,970.0,2500.0,98750.0,105666.0,6916.0,
851376,BARCLAYS CAPITAL INC. ,2020,,53.0,6933.0,,,,,7305.0,,1064.0,1379.0,26996.0,,46038.0,429.0,,5367.0,1103.0,2500.0,91805.0,99167.0,7362.0,
853784,HSBC SECURITIES (USA) INC. ,2002,1765740.0,,,,396483.0,,,,,,4760033.0,,,8654392.0,,,19040423.0,27502.0,375000.0,34644573.0,35226132.0,206559.0,
853784,HSBC SECURITIES (USA) INC. ,2003,17922.0,,,,149596.0,,,,,419249.0,536370.0,,,6881862.0,,,4932337.0,105765.0,305000.0,13043101.0,13457826.0,109725.0,
853784,HSBC SECURITIES (USA) INC. ,2004,,,,,201063.0,,,,,910082.0,1910797.0,,,5763412.0,,,6785027.0,167507.0,350000.0,15737888.0,16229970.0,142082.0,
853784,HSBC SECURITIES (USA) INC. ,2005,,,,,308291.0,,,,,582747.0,3329815.0,,,20161935.0,,,10348969.0,458557.0,525000.0,35190314.0,36210678.0,495364.0,
853784,HSBC SECURITIES (USA) INC. ,2006,,,,,421360.0,,,,,149909.0,1171131.0,,,36332904.0,,,9271052.0,910000.0,525000.0,48256356.0,50025689.0,1244333.0,
853784,HSBC SECURITIES (USA) INC. ,2007,,,1984774.0,,496658.0,,,,,-113244.0,3822861.0,,,55110877.0,,,17671203.0,2362307.0,100000.0,79757021.0,81435436.0,1578415.0,
853784,HSBC SECURITIES (USA) INC. ,2008,,,,,417060.0,,,,,79763.0,4025430.0,,,46444968.0,,,14891140.0,1018999.0,775000.0,66877360.0,68835607.0,1183247.0,
853784,HSBC SECURITIES (USA) INC. ,2009,30324.0,,,,304040.0,,,,,9014210.0,4043710.0,,,44356082.0,,,1107895.0,1062371.0,975000.0,59918632.0,61543858.0,650226.0,
853784,HSBC SECURITIES (USA) INC. ,2010,,,,,426901.0,,,,,463122.0,2555272.0,,,41871097.0,,,13574228.0,250052.0,650000.0,59140672.0,60683961.0,893289.0,
853784,HSBC SECURITIES (USA) INC. ,2011,44.0,,,,366771.0,,,,,1073549.0,1900971.0,,,64516016.0,,,13580233.0,850075.0,650000.0,82287659.0,83850980.0,913321.0,
853784,HSBC SECURITIES (USA) INC. ,2012,564383.0,,,,374346.0,,,,,563881.0,1281215.0,,,42392702.0,,,8857567.0,127212.0,650000.0,54161306.0,55704086.0,892780.0,
