,CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
61,27135,DAVENPORT & COMPANY LLC,817103,P.O. BOX 85678, ,RICHMOND,VA,23285-5678
62,27148,"SHARE FINANCIAL SERVICES, INC.",816207,15770 DALLAS PARKWAY,SUITE 275,DALLAS,TX,75248
63,27182,D.A. DAVIDSON & CO.,802399,P.O. BOX 5015, ,GREAT FALLS,MT,59403-5015
64,27224,C. R. DAVIS & COMPANY,800859,939 CLOCKTOWER DRIVE,SUITE A,SPRINGFIELD,IL,62704-1303
65,28088,H. C. DENISON CO.,800044,P.O. BOX 28, ,SHEBOYGAN,WI,53082-0028
66,28471,DEVELOPMENT CORPORATION FOR ISRAEL,804218,641 LEXINGTON AVENUE,SUITE # 600,NEW YORK,NY,10022
67,29269,"DIVERSIFIED SECURITIES, INCORPORATED",812676,P. O. BOX 357, ,LONG BEACH,CA,90801
68,29476,"DOFT & CO., INC.",810048,55 EAST 59TH STREET,12TH FLOOR,NEW YORK,NY,10022
69,29648,PERSHING LLC,817574,ONE PERSHING PLAZA,10TH FLOOR,JERSEY CITY,NJ,07399
70,29780,"DORN & CO., INC.",808707,216 EAST WASHINGTON AVENUE, ,FERGUS FALLS,MN,56537-2812
71,29805,"DORSEY & COMPANY, INC.",807541,511 GRAVIER STREET, ,NEW ORLEANS,LA,70130-2701
72,30568,"DUPREE & COMPANY, INC.",810938,P. O. BOX 1149, ,LEXINGTON,KY,40588-1149
73,31013,AQUILA DISTRIBUTORS LLC,813173,120 WEST 45TH STREET,SUITE 3600,NEW YORK,NY,10036
74,33179,"EQUITABLE ADVISORS, LLC",817883,1290 AVENUE OF THE AMERICAS,16TH FLOOR,NEW YORK,NY,10104
75,33246,"TRUIST SECURITIES, INC.",817212,"3333 PEACHTREE ROAD, N.E.","ATLANTA FINANCIAL CENTER, SOUTH TOWER, 9",ATLANTA,GA,30326
76,33350,"EQUITY SERVICES, INC.",814286,ONE NATIONAL LIFE DRIVE, ,MONTPELIER,VT,05604
77,33391,"CROWN CAPITAL SECURITIES, L.P.",817264,725 TOWN & COUNTRY ROAD,SUITE 530,ORANGE,CA,92868
78,33639,ACCRUED EQUITIES INC.,817356,150 BROADHOLLOW RD,SUITE PH 02,MELVILLE,NY,11747
79,33738,CREDIT AGRICOLE SECURITIES (USA) INC.,813753,1301 AVENUE OF THE AMERICAS - 13TH FLOOR, ,NEW YORK,NY,10019
80,34422,"SOVEREIGN LEGACY SECURITIES, INC.",800621,P.O. BOX 2299, ,SOUTHERN PINES,NC,28388
81,34985,FEDERATED SECURITIES CORP.,815561,1001 LIBERTY AVENUE,1001 LIBERTY AVENUE,PITTSBURGH,PA,15222-3779
82,34986,"FEDERATED SECURITIES, INC.",815644,P.O. BOX 2679, ,HUNTINGTON STATION,NY,11746-0531
83,35606,"GIRARD INVESTMENT SERVICES, LLC",814145,41 WEST BROAD STREET,ATTN: ANNETTE KNIBBS,SOUDERTON,PA,18964
84,35811,"FINANCIAL SCIENCES, INC.",817925,"21 MILK STREET, 2ND FL", ,BOSTON,MA,02109
85,36349,"FIRST GEORGETOWN SECURITIES, INC.",818390,1700 DIAGONAL RD.,# 200,ALEXANDRIA,VA,22314
86,36435,"FORESTERS FINANCIAL SERVICES, INC.",813891,110 FIELDCREST AVE,10TH FLOOR,EDISON,NJ,08837
87,36503,FIRST MANHATTAN CO,810438,399 PARK AVENUE, ,NEW YORK,NY,10022
88,36520,"FMSBONDS, INC.",823280,4775 TECHNOLOGY WAY,SUITE 1100/2100,BOCA RATON,FL,33431
89,36528,FIRST MIDSTATE INC.,811575,P.O. BOX 3367, ,BLOOMINGTON,IL,61702-3367
90,36545,"COOMBE FINANCIAL SERVICES, INC.",811700,6872 ROUTE 209, ,WAWARSING,NY,12489
91,36793,"TD AMERITRADE CLEARING, INC.",816335,200 SOUTH 108TH AVENUE, ,OMAHA,NE,68154
92,36882,"CABRERA CAPITAL MARKETS, LLC",826406,10 SOUTH LA SALLE STREET,SUITE 1050,CHICAGO,IL,60603
93,37846,FOLGER NOLAN FLEMING DOUGLAS INCORPORATED,803335,725 15TH STREET N.W., ,WASHINGTON,DC,20005-2109
94,38679,"STUART FRANKEL & CO., INCORPORATED",817419,60 CUTTER MILL ROAD,SUITE 210,GREAT NECK,NY,11021
95,38724,"FRANKLIN/TEMPLETON DISTRIBUTORS, INC.",805889,ONE FRANKLIN PARKWAY,SUITE 200F,SAN MATEO,CA,94403-1906
96,39059,TD PRIME SERVICES LLC,803337,31 WEST 52ND STREET,24TH FLOOR,NEW YORK,NY,10019-6101
97,40055,"GARRETT NAGLE & CO., INC.",820369,300 UNICORN PARK DRIVE, ,WOBURN,MA,01801
98,41199,"GERSON, HOROWITZ, GREEN SECURITIES CORP.",815521,250 WEST 57TH STREET,SUITE 1614,NEW YORK,NY,10107
99,42352,GOLDMAN SACHS & CO. LLC,800129,222 SOUTH MAIN STREET,27TH FLOOR,SALT LAKE CITY,UT,84101
100,42431,"GOLF HOST SECURITIES, INC.",818181,36750 US HWY 19 N., ,PALM HARBOR,FL,34684
101,44305,"CAPITAL HILL GROUP, INC.",826145,43 RAINEY STREET,# 3201,AUSTIN,TX,78701
102,45726,HARRIS ASSOCIATES SECURITIES L.P.,819988,111 S. WACKER DRIVE,SUITE 4600,CHICAGO,IL,60606
103,45926,"HARTFIELD, TITUS & DONNELLY, LLC",818974,111 TOWN SQUARE PLACE, ,JERSEY CITY,NJ,07310
104,46194,"EMPIRE STATE FINANCIAL, INC.",816309,20 W. PARK AVE.,SUITE 207,LONG BEACH,NY,11561
105,46374,"HAZARD & SIEGEL, INC.",813942,PO BOX 157,SUITE 110,SYRACUSE,NY,13214
106,46392,"HAZLETT, BURT & WATSON, INC.",817737,1300 CHAPLINE STREET, ,WHEELING,WV,26003
107,46573,"HEFREN-TILLOTSON, INC.",810646,308 SEVENTH AVENUE, ,PITTSBURGH,PA,15222-3909
108,46902,"CARL M. HENNIG, INC.",814509,P O BOX 1069, ,OSHKOSH,WI,54903-1069
109,47070,"BERNARD HEROLD & CO., INC.",817005,"805 3RD AVENUE, 18TH FLOOR", ,NEW YORK,NY,10022-7513
110,48532,"INSIGHT SECURITIES, INC.",816247,600 CENTRAL AVE,SUITE 265,HIGHLAND PARK,IL,60035
111,48966,"COWEN AND COMPANY, LLC",822522,599 LEXINGTON AVENUE,20TH FLOOR,NEW YORK,NY,10022
112,49096,WINTRUST INVESTMENTS LLC,800484,P.O. BOX 750, ,CHICAGO,IL,60690-0750
113,49303,"HUNTINGTON SECURITIES, INC.",805761,222 WEST ADAMS-STE 1700, ,CHICAGO,IL,60606-5308
114,49589,"N.I.S. FINANCIAL SERVICES, INC.",815919,P. O. BOX 219103, ,KANSAS CITY,MO,64121-9103
115,49709,"AMERIPRISE FINANCIAL SERVICES, LLC",816791,5221 AMERIPRISE FINANCIAL CENTER, ,MINNEAPOLIS,MN,55474
116,49762,VAN ECK SECURITIES CORPORATION,804618,666 THIRD AVENUE,9TH FLOOR,NEW YORK,NY,10017-4033
117,50481,"INGALLS & SNYDER, LLC",801865,1325 AVENUE OF THE AMERICAS,18TH FLOOR,NEW YORK,NY,10019-6066
118,50825,H2C SECURITIES INC.,819993,4655 EXECUTIVE DRIVE,SUITE 280,SAN DIEGO,CA,92121
119,51803,INVEMED ASSOCIATES LLC,818082,375 PARK AVENUE,SUITE 2205,NEW YORK,NY,10152-0189
120,52021,"RAYMOND JAMES FINANCIAL SERVICES, INC.",817983,880 CARILLON PARKWAY, ,ST. PETERSBURG,FL,33716
121,53834,"JOE JOLLY & CO., INC.",818805,P.O. BOX 8, ,BIRMINGHAM,AL,35201-0008
122,53855,JONESTRADING INSTITUTIONAL SERVICES LLC,826089,32133 W. LINDERO CANYON RD. #208, ,WESTLAKE VILLAGE,CA,91361-4226
123,53903,"EDWARD D. JONES & CO., L.P.",800759,12555 MANCHESTER ROAD, ,ST. LOUIS,MO,63131-3710
124,54930,"KEEFE, BRUYETTE & WOODS, INC.",810888,787 7TH AVENUE,4TH FLOOR,NEW YORK,NY,10019
125,55028,"PLANNERS FINANCIAL SERVICES, INC.",818027,"1210 NORTHLAND DRIVE, SUITE 190",SUITE 103,MENDOTA HEIGHTS,MN,55120
126,55798,"KIMELMAN & BAIRD, LLC",813028,"800 THIRD AVENUE, SUITE 2300", ,NEW YORK,NY,10022
127,55847,"C. L. KING & ASSOCIATES, INC.",817025,NINE ELK STREET, ,ALBANY,NY,12207
128,56355,"KMS FINANCIAL SERVICES, INC.",815433,2001 SIXTH AVE,SUITE 2801,SEATTLE,WA,98121-1866
129,56752,KRAMBO CORPORATION,820957,THE PRESIDIO OF SAN FRANCISCO,MAIL CAL BOX 29310,SAN FRANCISCO,CA,94129-0310
130,57052,"KUYKENDALL & SCHNEIDER, INC.",817609,8009 GENOA AVENUE, ,LUBBOCK,TX,79424
