,CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
213,94703,"LASALLE ST SECURITIES, L.L.C.",818860,940 N. INDUSTRIAL DR., ,ELMHURST,IL,60126-1131
214,94869,J. STREICHER & CO. L.L.C.,804342,28 LIBERTY STREET 6TH FLOOR,55 BROADWAY SUITE 311,NEW YORK,NY,10005
215,95453,"SUNSET FINANCIAL SERVICES, INC.",814148,P.O. BOX 219365, ,KANSAS CITY,MO,64121-9365
216,96600,"FUNDS DISTRIBUTOR, LLC",820518,THREE CANAL PLAZA,SUITE 100,PORTLAND,ME,04101
217,99547,U. S. BOSTON CAPITAL CORPORATION,815885,55 OLD BEDFORD ROAD,SUITE 202,LINCOLN,MA,01773
218,99947,"TRUBEE, COLLINS & CO., INC.",802142,1350 ONE M&T PLAZA, ,BUFFALO,NY,14203-2396
219,100505,"U.S. SECURITIES, INTL. CORP.",818118,120 BROADWAY, ,NEW YORK,NY,10271
220,100565,LINCOLN FINANCIAL SECURITIES CORPORATION,814609,P.O. BOX 2239, ,FORT WAYNE,IN,46801-2239
221,101510,"FIRST COMMAND FINANCIAL PLANNING, INC.",807072,P.O. BOX 2387, ,FORT WORTH,TX,76113
222,102780,VAN CLEMENS & CO. INCORPORATED,818414,900 SECOND AVE S,SUITE 1500,MINNEAPOLIS,MN,55402
223,102786,"INVESCO CAPITAL MARKETS, INC.",819412,11 GREENWAY PLAZA,SUITE 1000,HOUSTON,TX,77046
224,103623,OPPENHEIMER & CO. INC.,804077,85 BROAD STREET,22ND FLOOR,NY,NY,10004
225,104021,"WACHTEL & CO., INC.",811345,"1701  K  STREET, NW     SUITE 615", ,WASHINGTON,DC,20006
226,105264,WEDBUSH SECURITIES INC.,812987,P.O. BOX 30014,8TH FL,LOS ANGELES,CA,90030-0014
227,105464,"BOSTON PARTNERS SECURITIES, L.L.C.",815648,ONE GRAND CENTRAL PLACE,60 E 42ND ST - SUITE 1550,NEW YORK,NY,10165
228,107136,"WILEY BROS.-AINTREE CAPITAL, LLC",803774,40 BURTON HILLS BLVD.,SUITE 350,NASHVILLE,TN,37215
229,107238,"DUNCAN-WILLIAMS, INC.",818971,6750 POPLAR AVENUE - SUIITE 300, ,MEMPHIS (SHELBY),TN,38138-7424
230,107476,"WILSON-DAVIS & CO., INC.",814299,P.O. BOX 11587, ,SALT LAKE CITY,UT,84147-0587
231,108144,"WOOD (ARTHUR W.) COMPANY, INC.",803368,50 CONGRESS STREET STE 700,SUITE 300,BOSTON,MA,02109-4041
232,108404,"OMEGA SECURITIES, INC.",820225,300 THROCKMORTON,SUITE 1450,FORT WORTH,TX,76102-6996
233,108634,"WULFF, HANSEN & CO.",800292,"100 SMITH RANCH ROAD, SUITE 330", ,SAN RAFAEL,CA,94903
234,109309,B. C. ZIEGLER AND COMPANY,800094,"ONE NORTH WACKER DRIVE, SUITE 2000", ,CHICAGO,IL,60606
235,109433,"M. ZUCKER, INC.",816190,771 W END AVE, ,NEW YORK,NY,10025
236,110084,"L. S. Y., INC.",817613,P. O. BOX 1307, ,SAN RAMON,CA,94583
237,200022,"AMERICAN FUNDS DISTRIBUTORS, INC.",817168,333 S. HOPE ST. 55TH FL., ,LOS ANGELES,CA,90071
238,200194,HAROLD W. DANCE INC.,812160,360 NORTH MAIN, ,LOGAN,UT,84321
239,200258,FAMILY INVESTORS COMPANY,811190,265 SOUTH AVENUE,P. O. BOX 100,FANWOOD,NJ,07023
240,200357,"NATIONWIDE SECURITIES, LLC",812500,ONE NATIONWIDE PLAZA,MAIL CODE: 01-33-401,COLUMBUS,OH,43215
241,200401,JANNEY MONTGOMERY SCOTT LLC,800462,1717 ARCH STREET, ,PHILADELPHIA,PA,19103
