ID_RSSD_SUCCESSOR,TRNSFM_CD,DT_TRANS
2731728,Charter Discontinued (Merger or Purchase & Assumption),27
626446,Charter Discontinued (Merger or Purchase & Assumption),27
339858,Charter Discontinued (Merger or Purchase & Assumption),27
4692346,Charter Discontinued (Merger or Purchase & Assumption),27
2799700,Charter Discontinued (Merger or Purchase & Assumption),27
130970,Charter Discontinued (Merger or Purchase & Assumption),26
102016,Charter Discontinued (Merger or Purchase & Assumption),26
2799698,Charter Discontinued (Merger or Purchase & Assumption),26
688079,Charter Discontinued (Merger or Purchase & Assumption),26
1956467,Charter Discontinued (Merger or Purchase & Assumption),26
116237,Charter Discontinued (Merger or Purchase & Assumption),26
169653,Charter Discontinued (Merger or Purchase & Assumption),26
288853,Charter Discontinued (Merger or Purchase & Assumption),26
501105,Charter Discontinued (Merger or Purchase & Assumption),26
1685141,Charter Discontinued (Merger or Purchase & Assumption),26
959395,Charter Discontinued (Merger or Purchase & Assumption),26
838931,Charter Discontinued (Merger or Purchase & Assumption),25
722777,Charter Discontinued (Merger or Purchase & Assumption),25
1011526,Charter Discontinued (Merger or Purchase & Assumption),25
42420,Charter Discontinued (Merger or Purchase & Assumption),25
1141991,Charter Discontinued (Merger or Purchase & Assumption),25
1299696,Charter Discontinued (Merger or Purchase & Assumption),25
723112,Charter Discontinued (Merger or Purchase & Assumption),25
2173092,Charter Discontinued (Merger or Purchase & Assumption),25
581992,Charter Discontinued (Merger or Purchase & Assumption),25
821698,Charter Discontinued (Merger or Purchase & Assumption),25
2634191,Charter Discontinued (Merger or Purchase & Assumption),25
2648,Charter Discontinued (Merger or Purchase & Assumption),25
742533,Charter Discontinued (Merger or Purchase & Assumption),25
3114935,Charter Discontinued (Merger or Purchase & Assumption),25
913856,Charter Discontinued (Merger or Purchase & Assumption),25
93721,Charter Discontinued (Merger or Purchase & Assumption),25
659855,Charter Discontinued (Merger or Purchase & Assumption),24
1393576,"Failure, Government Assistance Provided",24
1217533,Charter Discontinued (Merger or Purchase & Assumption),24
1017939,Charter Discontinued (Merger or Purchase & Assumption),24
373357,Charter Discontinued (Merger or Purchase & Assumption),24
392620,Charter Discontinued (Merger or Purchase & Assumption),24
256722,Charter Discontinued (Merger or Purchase & Assumption),24
362445,Charter Discontinued (Merger or Purchase & Assumption),24
47489,Charter Discontinued (Merger or Purchase & Assumption),24
460024,Charter Discontinued (Merger or Purchase & Assumption),24
378875,Charter Discontinued (Merger or Purchase & Assumption),24
331647,Charter Discontinued (Merger or Purchase & Assumption),24
2860208,Charter Discontinued (Merger or Purchase & Assumption),24
202907,Charter Discontinued (Merger or Purchase & Assumption),24
379920,Charter Discontinued (Merger or Purchase & Assumption),24
438322,Charter Discontinued (Merger or Purchase & Assumption),24
917742,Charter Discontinued (Merger or Purchase & Assumption),24
1246766,Charter Discontinued (Merger or Purchase & Assumption),23
974848,Charter Discontinued (Merger or Purchase & Assumption),23
1002878,Charter Discontinued (Merger or Purchase & Assumption),23
248790,Charter Discontinued (Merger or Purchase & Assumption),23
282141,Charter Discontinued (Merger or Purchase & Assumption),23
403151,Charter Discontinued (Merger or Purchase & Assumption),23
1295643,Charter Discontinued (Merger or Purchase & Assumption),23
1045660,Charter Discontinued (Merger or Purchase & Assumption),23
3533,Charter Discontinued (Merger or Purchase & Assumption),23
60143,Charter Discontinued (Merger or Purchase & Assumption),23
1967575,Charter Discontinued (Merger or Purchase & Assumption),23
788951,Charter Discontinued (Merger or Purchase & Assumption),23
1478978,Charter Discontinued (Merger or Purchase & Assumption),23
1073551,Charter Discontinued (Merger or Purchase & Assumption),23
80703,Charter Discontinued (Merger or Purchase & Assumption),22
2260406,Charter Discontinued (Merger or Purchase & Assumption),22
1857368,Charter Discontinued (Merger or Purchase & Assumption),22
630395,Charter Discontinued (Merger or Purchase & Assumption),22
2577702,Charter Discontinued (Merger or Purchase & Assumption),22
663245,Charter Discontinued (Merger or Purchase & Assumption),22
203940,Charter Discontinued (Merger or Purchase & Assumption),22
2246987,Charter Discontinued (Merger or Purchase & Assumption),22
368492,Charter Discontinued (Merger or Purchase & Assumption),22
735405,Charter Discontinued (Merger or Purchase & Assumption),22
504777,Charter Discontinued (Merger or Purchase & Assumption),22
599951,Charter Discontinued (Merger or Purchase & Assumption),22
390532,Charter Discontinued (Merger or Purchase & Assumption),22
873138,Charter Discontinued (Merger or Purchase & Assumption),22
1133286,Charter Discontinued (Merger or Purchase & Assumption),22
1380848,Charter Discontinued (Merger or Purchase & Assumption),21
766892,Charter Discontinued (Merger or Purchase & Assumption),21
572495,Charter Discontinued (Merger or Purchase & Assumption),21
1835852,Charter Discontinued (Merger or Purchase & Assumption),21
311845,Charter Discontinued (Merger or Purchase & Assumption),21
5011542,Charter Discontinued (Merger or Purchase & Assumption),21
400637,Charter Discontinued (Merger or Purchase & Assumption),21
1027004,Charter Discontinued (Merger or Purchase & Assumption),21
1035568,Charter Discontinued (Merger or Purchase & Assumption),21
2731719,Charter Discontinued (Merger or Purchase & Assumption),21
1359433,Charter Discontinued (Merger or Purchase & Assumption),21
330275,Charter Discontinued (Merger or Purchase & Assumption),21
764834,Charter Discontinued (Merger or Purchase & Assumption),21
2003975,Charter Discontinued (Merger or Purchase & Assumption),21
1854107,Charter Discontinued (Merger or Purchase & Assumption),21
115173,Charter Discontinued (Merger or Purchase & Assumption),20
751674,Charter Discontinued (Merger or Purchase & Assumption),20
368308,Charter Discontinued (Merger or Purchase & Assumption),20
669667,Charter Discontinued (Merger or Purchase & Assumption),20
101194,Charter Discontinued (Merger or Purchase & Assumption),20
159588,Charter Discontinued (Merger or Purchase & Assumption),20
764030,Charter Discontinued (Merger or Purchase & Assumption),20
953393,Charter Discontinued (Merger or Purchase & Assumption),20
413208,Charter Discontinued (Merger or Purchase & Assumption),20
929893,Charter Discontinued (Merger or Purchase & Assumption),20
2053363,Charter Discontinued (Merger or Purchase & Assumption),20
1968796,Charter Discontinued (Merger or Purchase & Assumption),20
2221854,Charter Discontinued (Merger or Purchase & Assumption),20
624974,Charter Discontinued (Merger or Purchase & Assumption),20
2320823,Charter Discontinued (Merger or Purchase & Assumption),20
445843,Charter Discontinued (Merger or Purchase & Assumption),20
541101,Charter Discontinued (Merger or Purchase & Assumption),20
2152127,Charter Discontinued (Merger or Purchase & Assumption),20
1078921,Charter Discontinued (Merger or Purchase & Assumption),20
613307,Charter Discontinued (Merger or Purchase & Assumption),20
319083,Charter Discontinued (Merger or Purchase & Assumption),20
1007846,Charter Discontinued (Merger or Purchase & Assumption),20
47797,Charter Discontinued (Merger or Purchase & Assumption),20
804963,Charter Discontinued (Merger or Purchase & Assumption),20
23241,Charter Discontinued (Merger or Purchase & Assumption),19
698171,Charter Discontinued (Merger or Purchase & Assumption),19
787431,Charter Discontinued (Merger or Purchase & Assumption),19
360599,Charter Discontinued (Merger or Purchase & Assumption),19
761374,Charter Discontinued (Merger or Purchase & Assumption),19
52223,Charter Discontinued (Merger or Purchase & Assumption),19
1010930,Charter Discontinued (Merger or Purchase & Assumption),19
1136821,Charter Discontinued (Merger or Purchase & Assumption),19
451479,Charter Discontinued (Merger or Purchase & Assumption),19
446185,Charter Discontinued (Merger or Purchase & Assumption),19
697763,Charter Discontinued (Merger or Purchase & Assumption),19
1068025,Charter Discontinued (Merger or Purchase & Assumption),19
1929247,Charter Discontinued (Merger or Purchase & Assumption),19
2673819,Charter Discontinued (Merger or Purchase & Assumption),19
2509,Charter Discontinued (Merger or Purchase & Assumption),19
139272,Charter Discontinued (Merger or Purchase & Assumption),19
1678,Charter Discontinued (Merger or Purchase & Assumption),19
744292,Charter Discontinued (Merger or Purchase & Assumption),19
680345,Charter Discontinued (Merger or Purchase & Assumption),19
794541,Charter Discontinued (Merger or Purchase & Assumption),19
3005332,Charter Discontinued (Merger or Purchase & Assumption),19
382096,Charter Discontinued (Merger or Purchase & Assumption),19
309824,Charter Discontinued (Merger or Purchase & Assumption),19
143662,Charter Discontinued (Merger or Purchase & Assumption),19
2467175,Charter Discontinued (Merger or Purchase & Assumption),19
965079,"Failure, Government Assistance Provided",19
278845,Charter Discontinued (Merger or Purchase & Assumption),19
154686,Charter Discontinued (Merger or Purchase & Assumption),19
426374,Charter Discontinued (Merger or Purchase & Assumption),19
494261,Charter Discontinued (Merger or Purchase & Assumption),19
941699,Charter Discontinued (Merger or Purchase & Assumption),18
3850,Charter Discontinued (Merger or Purchase & Assumption),18
533898,Charter Discontinued (Merger or Purchase & Assumption),18
723354,Charter Discontinued (Merger or Purchase & Assumption),18
96012,Charter Discontinued (Merger or Purchase & Assumption),18
216771,Charter Discontinued (Merger or Purchase & Assumption),18
474919,Charter Discontinued (Merger or Purchase & Assumption),18
416245,Charter Discontinued (Merger or Purchase & Assumption),18
543084,Charter Discontinued (Merger or Purchase & Assumption),18
142898,Charter Discontinued (Merger or Purchase & Assumption),18
1249347,Charter Discontinued (Merger or Purchase & Assumption),18
2847508,Charter Discontinued (Merger or Purchase & Assumption),18
761806,Charter Discontinued (Merger or Purchase & Assumption),18
440325,Charter Discontinued (Merger or Purchase & Assumption),18
3742758,Charter Discontinued (Merger or Purchase & Assumption),18
19422,Charter Discontinued (Merger or Purchase & Assumption),18
749242,Charter Discontinued (Merger or Purchase & Assumption),18
541923,Charter Discontinued (Merger or Purchase & Assumption),18
273457,Charter Discontinued (Merger or Purchase & Assumption),18
468990,Charter Discontinued (Merger or Purchase & Assumption),18
540926,Charter Discontinued (Merger or Purchase & Assumption),18
435394,Charter Discontinued (Merger or Purchase & Assumption),18
1843352,Charter Discontinued (Merger or Purchase & Assumption),18
2031660,Charter Discontinued (Merger or Purchase & Assumption),18
810124,Charter Discontinued (Merger or Purchase & Assumption),18
1070345,Charter Discontinued (Merger or Purchase & Assumption),18
248473,Charter Discontinued (Merger or Purchase & Assumption),18
1076767,Charter Discontinued (Merger or Purchase & Assumption),18
265087,Charter Discontinued (Merger or Purchase & Assumption),18
934329,Charter Discontinued (Merger or Purchase & Assumption),18
914808,Charter Discontinued (Merger or Purchase & Assumption),18
1945957,Charter Discontinued (Merger or Purchase & Assumption),18
3827794,"Failure, Government Assistance Provided",18
842143,Charter Discontinued (Merger or Purchase & Assumption),18
3463558,Charter Discontinued (Merger or Purchase & Assumption),17
373861,Charter Discontinued (Merger or Purchase & Assumption),17
647254,Charter Discontinued (Merger or Purchase & Assumption),17
702117,Charter Discontinued (Merger or Purchase & Assumption),17
266271,Charter Discontinued (Merger or Purchase & Assumption),17
1035595,Charter Discontinued (Merger or Purchase & Assumption),17
674858,Charter Discontinued (Merger or Purchase & Assumption),17
67311,Charter Discontinued (Merger or Purchase & Assumption),17
179474,Charter Discontinued (Merger or Purchase & Assumption),17
633659,Charter Discontinued (Merger or Purchase & Assumption),17
915298,Charter Discontinued (Merger or Purchase & Assumption),17
670234,Charter Discontinued (Merger or Purchase & Assumption),17
747109,Charter Discontinued (Merger or Purchase & Assumption),17
470050,Charter Discontinued (Merger or Purchase & Assumption),17
1082067,Charter Discontinued (Merger or Purchase & Assumption),17
298375,Charter Discontinued (Merger or Purchase & Assumption),17
1411519,"Failure, Government Assistance Provided",17
2351630,Charter Discontinued (Merger or Purchase & Assumption),17
808176,Charter Discontinued (Merger or Purchase & Assumption),17
237477,Charter Discontinued (Merger or Purchase & Assumption),17
1187001,Charter Discontinued (Merger or Purchase & Assumption),17
813394,Charter Discontinued (Merger or Purchase & Assumption),17
1053272,Charter Discontinued (Merger or Purchase & Assumption),17
490281,Charter Discontinued (Merger or Purchase & Assumption),17
350152,Charter Discontinued (Merger or Purchase & Assumption),17
943732,Charter Discontinued (Merger or Purchase & Assumption),17
864088,Charter Discontinued (Merger or Purchase & Assumption),17
476810,Charter Discontinued (Merger or Purchase & Assumption),17
32104,Charter Discontinued (Merger or Purchase & Assumption),16
933966,Charter Discontinued (Merger or Purchase & Assumption),16
1073757,Charter Discontinued (Merger or Purchase & Assumption),16
1024058,Charter Discontinued (Merger or Purchase & Assumption),16
1072291,Charter Discontinued (Merger or Purchase & Assumption),16
979889,Charter Discontinued (Merger or Purchase & Assumption),16
896191,Charter Discontinued (Merger or Purchase & Assumption),16
122854,Charter Discontinued (Merger or Purchase & Assumption),16
1223310,Charter Discontinued (Merger or Purchase & Assumption),16
489623,Charter Discontinued (Merger or Purchase & Assumption),16
