#ID_RSSD_PARENT,D_DT_START
480228,1932
852218,1457
4532451,1304
451965,1244
1120754,1090
484422,1028
476810,918
2380443,851
938019,809
1039502,691
1607170,665
1242423,635
76201,630
1631915,614
2738615,563
3742758,507
3744529,500
3742767,499
3943470,491
1119794,483
906915,483
1073757,478
2847508,475
2937940,473
161415,462
2538477,424
1116298,409
1036967,400
1073551,396
3721931,388
817824,380
112837,366
5476310,350
748601,343
747109,308
1045848,307
1387575,303
212465,303
3132171,297
1068025,296
1426410,293
3915963,278
35301,277
2173092,276
3080665,275
1074156,275
1076776,270
280110,267
1141991,266
1179284,263
2330626,262
1382543,259
2162966,258
1951350,252
3929830,249
852320,245
4302533,243
4460826,242
674111,241
349361,241
1968198,236
1199497,235
1573257,235
504713,231
4875644,228
214807,222
3370441,221
541101,220
1238770,220
1170973,215
783871,209
1630141,208
1069125,208
66855,205
1112094,201
1526833,201
4513665,198
101019,192
1232442,190
1090482,190
1068294,189
1243206,186
2320823,184
834821,184
248624,182
3943407,179
1231968,177
2967509,176
3457454,176
1546103,175
1173330,174
1113514,173
413208,173
1077120,172
3077085,172
1039164,172
3943582,171
1020180,170
1078332,169
1077689,169
1574834,169
767723,168
1112076,168
1032473,167
1069778,164
1299696,163
1186086,163
4264565,162
2821188,161
1238471,159
3578292,157
1246766,157
2816410,156
1180758,154
1247334,154
1193945,153
1170786,151
3452703,151
1184626,150
1100886,150
4716028,149
173333,149
865601,149
497404,145
1042351,144
485559,144
1101753,142
3016002,140
1382516,140
2985428,139
3867790,139
3444025,138
1440528,137
1068191,134
1236619,134
1251881,134
1023538,134
1242807,133
3170847,133
3943416,133
5372739,132
1990005,130
302544,130
4524755,130
1237782,129
1426362,129
554008,129
720317,129
2372028,128
1968796,127
2983778,127
1199778,127
1101632,127
919737,126
1049828,126
1025701,125
1231454,125
1020201,125
1180860,124
2701860,124
1093586,124
1071968,123
1068762,123
3943425,121
2929897,121
1142644,121
511355,121
1242366,120
675332,120
233031,120
3373527,119
1042454,119
355214,119
1235368,119
2654229,118
1199479,118
1112870,118
3969498,116
2944827,115
3065925,115
3936708,115
2017374,115
1118797,114
1242414,114
2813996,113
1232545,113
591900,112
2870579,112
2011206,112
1111435,112
4549271,112
12311,111
1667615,111
3968437,111
1049042,110
1026016,110
1242441,109
1020340,108
1246122,108
2549857,108
1094369,108
3582806,108
2295109,108
2182245,107
1100550,107
1174793,107
3003785,107
1078846,106
1201028,106
645616,106
1033470,106
1094640,105
3003712,105
4407960,104
735405,104
1231780,103
1171064,102
934329,101
501105,101
1186200,101
1243327,100
256722,100
2599601,99
2138626,98
1027004,98
2576385,98
3934348,98
2245850,98
3742945,98
1079441,97
1239629,97
1199844,97
1234213,97
3970524,96
298816,96
1049341,96
1199460,96
1242311,96
60143,95
3840207,95
1171091,95
1036707,95
1113907,95
1199536,95
1023248,94
1229901,94
1199648,94
1035362,94
3802540,94
1242478,94
1944398,94
1177682,94
4621207,93
3991387,93
1172128,93
3813984,93
259518,93
368308,93
3202850,92
3559246,92
4612184,92
80703,91
1130780,91
1238967,91
1102228,91
1146316,91
1079281,91
1199563,91
1040795,91
395238,91
1044412,91
1562859,91
14409,91
1242375,90
1100327,90
1094211,90
3952098,90
1584114,90
1078529,89
3714205,89
1240009,89
1394676,89
1235407,88
1101847,88
1238743,88
1131787,86
3054200,86
3931628,86
2741679,86
608929,85
1584093,85
1100578,85
1024526,85
423355,85
1441374,85
137915,85
1199611,85
1098303,84
3485242,84
3307522,84
3931927,83
1180468,83
804963,83
1033050,83
31415,82
1116113,82
1242469,82
1199488,82
1947915,82
1243194,82
1197804,82
5164596,81
3373424,81
3587146,81
210434,81
2526166,80
2306966,80
1072107,80
2277860,80
1200432,79
723112,79
3935569,79
983448,79
5064641,79
1110344,78
1076758,78
1184859,78
279431,78
1123193,78
3828072,77
1072291,77
1080465,77
2914521,77
2763215,77
2974495,77
2279118,76
1235489,76
1239254,76
1070345,76
794037,75
697633,75
3867772,75
3090196,75
2723488,75
1043134,75
3197956,74
1231306,74
2781273,74
1235957,74
613307,74
148304,74
276579,74
1116300,74
4523945,74
47920,74
4852458,74
4525417,73
2892348,73
1242290,73
1235201,73
1231342,73
1442737,73
348104,73
1424340,72
1110559,72
2941059,72
1132449,72
1093773,72
3403433,71
1492871,71
830319,71
1676457,71
1031449,71
652034,71
1231230,71
1939714,70
3872048,70
182232,70
1242432,70
1199509,70
2945824,70
1199769,70
4525190,70
197478,70
2036450,70
1665581,69
1053272,69
1037115,69
1199705,69
1111864,69
1249196,69
102016,69
1184484,69
2770204,69
3793536,69
1069992,69
1206546,69
372930,69
1027095,68
1020902,68
1425637,68
832872,68
2578754,68
1020283,68
4347132,68
1181698,68
460024,68
1517792,68
4528128,67
1231575,67
3946088,67
1235162,67
1969403,67
1147470,67
2917120,67
1892958,67
1116289,67
2827180,67
2831141,67
1045660,66
1070448,66
1391303,66
193304,66
1076918,66
1024058,66
3952753,65
1060627,65
1078239,65
3104963,65
2760380,65
694904,65
968605,65
1235229,64
1123670,64
1929863,64
1208184,64
795968,64
4246169,64
1133286,63
2663409,63
1071203,63
2705729,63
2993478,63
3069165,63
1198070,63
3933408,63
5472406,63
2822091,63
1143557,63
1249338,63
2823191,63
2968467,63
2990244,63
3028359,62
2722904,62
1020265,62
75633,62
3609235,62
540506,62
1391237,62
1234820,62
3943274,62
2819288,62
4057347,61
1155420,61
1049734,61
1136157,61
1026632,61
1037003,61
1199910,61
1442821,61
4523628,61
295310,61
1115750,60
2747644,60
1233216,60
4288105,60
2673819,60
922728,60
1245415,60
1230336,59
229801,59
266271,59
1020229,59
2967527,59
3311051,59
2559249,59
750006,59
52223,59
332907,58
4597898,58
2260406,58
43557,58
1180413,58
4623108,58
1020199,58
1136821,58
3032552,58
1180244,58
4211046,58
4044619,57
1036051,57
1993734,57
1070514,57
3567803,57
3063622,57
2023384,57
4163903,57
1102590,57
1033872,56
1170919,56
445843,56
1199620,56
2911182,56
2576572,56
722777,56
1078604,56
1131639,56
1909490,56
2039264,56
1117129,56
1039454,56
1239928,56
3297799,56
1199714,55
1831715,55
1241707,55
4524670,55
4718992,55
1020603,55
166803,55
1883693,55
5588996,55
1440715,55
1213683,55
1104231,55
3166279,55
4527493,55
1494240,55
1021972,55
1094154,54
339858,54
1072237,54
4418724,54
2333168,54
643519,54
1053580,54
3303298,54
2777294,54
3932063,54
4524438,54
4597852,54
2889339,54
817833,54
1141599,54
1379552,54
1123915,53
980661,53
1078426,53
2821302,53
63069,53
1183272,53
1922994,53
917742,53
24837,53
2003975,53
1076217,53
491224,53
170109,53
1099467,53
3948653,53
2647575,53
753267,53
4247326,53
1486638,53
4449586,53
3005332,53
1073364,53
1174823,53
3932344,53
1032530,53
4625522,53
1527232,52
484208,52
1093634,52
4052324,52
1232497,52
3115697,52
3932193,52
1231799,52
1078903,52
1387892,52
1242629,52
1079638,52
1250101,52
3013636,51
3227684,51
2459611,51
1243215,51
1079076,51
2259688,51
3373031,51
1242320,51
1068043,51
3192700,51
3197330,51
474919,51
1575569,51
4558983,51
1070288,51
1492899,51
1066209,50
4607359,50
1100541,50
2999582,50
1112272,50
455534,50
2422905,50
3528224,50
1378434,50
1074660,50
1184103,50
3815157,50
4114482,50
4512686,50
2307280,50
1459089,50
995151,50
1072442,49
840242,49
1072246,49
4056199,49
1870590,49
4052566,49
1042614,49
4154835,49
1100916,49
3890565,49
2693714,49
3066593,49
4555236,49
2259679,49
1562176,48
1041091,48
2839156,48
897273,48
5371611,48
845210,48
1243336,48
2670911,48
1094828,48
1171699,48
1238565,48
613008,48
260055,48
511515,48
4036771,48
1203602,48
1096523,48
1242357,48
379920,48
3066025,48
3714296,47
3265958,47
1301272,47
1386523,47
115025,47
1371239,47
2769525,47
3946435,47
331647,47
4317797,47
1049154,47
2860208,47
1659348,47
1119691,47
2673211,47
1111994,47
1201831,47
1053441,47
2758042,46
1249347,46
1110876,46
1188156,46
1115602,46
4547932,46
2932002,46
3147661,46
1232992,46
1574601,46
1093942,46
2200354,46
2913980,46
849414,46
1090156,45
3820272,45
4294357,45
5449686,45
1034806,45
2906768,45
208244,45
1230194,45
1117156,45
3457427,45
1020890,45
4525109,45
2782140,45
1242683,45
1171055,45
1574517,45
2988401,45
4525855,45
2977601,45
3945054,45
3927957,45
971801,45
730035,45
2289050,44
2790565,44
1246140,44
2463252,44
570231,44
1526730,44
3003806,44
3170043,44
1231744,44
1378957,44
1597664,44
1442410,44
1200393,44
245333,44
1195239,44
1054514,44
3040294,43
1094314,43
241876,43
913904,43
2777267,43
2455994,43
1199992,43
1022353,43
1095311,43
1035296,43
527954,43
2734233,43
1095478,43
1181812,43
1179864,43
1177600,43
1201934,43
2433312,43
1049510,43
1647970,43
3931712,43
1878185,43
4682347,42
1238789,42
1068726,42
4065203,42
3022638,42
4975179,42
2942917,42
2795131,42
651411,42
3933396,42
1173385,42
1230158,42
3945335,42
67311,42
1114007,42
2701084,42
2119634,42
3818804,42
4599614,42
1201475,42
274070,42
1039735,42
1128358,42
3908853,42
3188619,41
2681560,41
1186031,41
4024497,41
1070251,41
3533086,41
3934478,41
1233131,41
1963120,41
3115969,41
4527457,41
4710389,41
914808,41
1427275,41
1230747,41
