#ID_RSSD,NM_LGL,PRIM_FED_REG,CHTR_TYPE_CD,ORG_TYPE_CD,ENTITY_TYPE,CITY,STATE_ABBR_NM,CNTRY_NM,ID_TAX,ID_LEI,CIK,#ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,TRNSFM_CD,SUCCESSOR_NM_LGL
58971,WASHINGTON TRUST BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,SPOKANE,WA,UNITED STATES                           ,910462347,549300P2GEYNMH5OQA71,861787,1029473,58971,Charter Discontinued (Merger or Purchase & Assumption),WASHINGTON TRUST BANK                                                                                                   
58971,WASHINGTON TRUST BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,SPOKANE,WA,UNITED STATES                           ,910462347,549300P2GEYNMH5OQA71,861787,3102530,58971,"Failure, Government Assistance Provided",WASHINGTON TRUST BANK                                                                                                   
30810,DISCOVER BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,GREENWOOD,DE,UNITED STATES                           ,510020270,X05BVSK68TQ7YTOSNR22,894327,1404940,30810,Charter Discontinued (Merger or Purchase & Assumption),DISCOVER BANK                                                                                                           
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,70049,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,163473,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,163745,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,308649,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,353975,17147,"Failure, Government Assistance Provided",FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,364449,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,435349,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,569945,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,700672,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,816144,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,952547,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,966946,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,1009541,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,1866762,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,2781152,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,3157697,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
17147,FIRST MERCHANTS BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,MUNCIE,IN,UNITED STATES                           ,350508403,S0Q3AHZRL5K6VQE35M07,839052,3368989,17147,Charter Discontinued (Merger or Purchase & Assumption),FIRST MERCHANTS BANK                                                                                                    
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,108773,60143,"Failure, Government Assistance Provided",COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,169943,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,260046,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,371344,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,417644,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,531942,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,566140,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,792846,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,803368,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,840644,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,928841,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
