#ID_RSSD,CIK,NM_LGL
2795074,1083485,"FROST SECURITIES, INC."
2795748,1072766,"BANCORPSOUTH INVESTMENT SERVICES, INC"
2842129,1075925,"VISION INVESTMENT SERVICES, INC."
2842240,1076333,"TRUE NORTH FINANCIAL SERVICES, INC."
2844646,1088945,BNY INVESTMENT CENTER INC.
2908427,866989,"DIRIGO INVESTMENTS, INC."
2850898,1023797,"WELLS FARGO INSURANCE SERVICES INVESTMENT ADVISORS, INC."
2896300,1100532,"WHITNEY SECURITIES, L.L.C."
2931724,751937,"CREDIT SUISSE ASSET MANAGEMENT SECURITIES, INC."
2912406,1057019,UBS CLEARING SERVICES CORPORATION
2899785,206019,"VALLEY FORGE ASSET MANAGEMENT, LLC"
2855718,1251636,"INVESTMENT NETWORK, INC."
2934293,1137529,"POINTE CAPITAL, LLC"
2876692,786675,"CAPITAL ONE SECURITIES, LLC"
2901428,109917,TAMARACK DISTRIBUTORS INC.
2936082,1008567,IBC INVESTMENTS CORPORATION
2935834,1074843,"JEFFERIES PARTNERS OPPORTUNITY FUND, LLC"
2830096,882412,"CCBT BROKERAGE DIRECT, INC."
3003347,89813,"NDB CAPITAL MARKETS, L.P."
2940593,7470,NATEXIS BLEICHROEDER
2907167,1096940,"FIVE STAR INVESTMENT SERVICES, INC."
2941723,1063285,LIBERTYVIEW ALTERNATIVE ASSET MANAGEMENT INC.
2920782,1016691,"INTEGRITY SECURITIES, INC."
2942056,1109538,"BANC OF AMERICA SPECIALIST, INC."
2923000,63461,UBS CAPITAL MARKETS L.P.
2923242,1107562,"EPOCH SECURITIES, INC."
2923251,1088407,STC LLC
2923073,1052899,"CYBERTRADER, INC."
2961495,1136694,"COLONIAL BROKERAGE, INC."
2983367,276523,"WELLS FARGO SECURITIES, LLC"
3028582,910795,"ACORDIA SECURITIES, INC."
3010653,737470,ELLIOTT-LEDGERWOOD & COMPANY DBA SOUTH VALLEY WEALTH MANAGEMENT
2927624,1090104,"CREDITEX, INC."
2963976,1103394,"BUTLER, CHAPMAN & CO. LLC"
3030633,38724,"FRANKLIN/TEMPLETON DISTRIBUTORS, INC."
3011801,1128202,SINOPAC FINANCIAL SERVICES (USA) LTD.
3012134,711553,"WACHOVIA SECURITIES FINANCIAL NETWORK, INC"
2928902,1091509,KBC SECURITIES INC.
3032703,1146358,EQUILEND LLC
3033607,1108104,"COUNTRYWIDE INVESTMENT SERVICES, INC."
2949233,821578,"WELLS FARGO INVESTMENTS, LLC"
3033102,703004,COUNTRYWIDE SECURITIES CORPORATION
2949961,786464,"RAGEN MACKENZIE INVESTMENT SERVICES, LLC"
3045141,1104247,CORONADO ADVISORS LLC
3033812,718428,FRANKLIN TEMPLETON FINANCIAL SERVICES CORP.
2949989,1104979,"QUASAR DISTRIBUTORS, LLC"
2968618,1126369,CITIGROUP GENEVA CAPITAL STRATEGIES INC.
3015256,1125770,"FBT INVESTMENTS, INC."
3036082,39561,ABN AMRO SECURITIES LLC
2970152,724379,"J.C. BRADFORD & CO., LLC"
3015788,890203,DAEWOO SECURITIES
2971047,724379,J.C. BRADFORD & CO. INC. (USA)
2995799,1084327,BNY MELLON SECURITIES LLC
3048160,1108328,"STERLING CAPITAL DISTRIBUTORS, LLC"
3015993,31080,"WELLS FARGO INSTITUTIONAL SECURITIES, LLC"
3047976,1002987,"BLACKROCK DISTRIBUTORS, INC."
3047967,919478,"MGI FUNDS DISTRIBUTORS, LLC"
3070826,1061698,"SCHWAB ALTERITY, L.P."
3049103,1001713,"MELLON FUNDS DISTRIBUTOR, L.P."
3071766,829331,"DRESDNER KLEINWORT WASSERSTEIN, INC."
2973201,1073993,UBS SERVICES USA LLC
3072558,1137494,ABBEY NATIONAL SECURITIES INC.
3020661,846646,"DRESDNER KLEINWORT WASSERSTEIN - GRANTCHESTER, INC."
3075250,94247,"STERNE, AGEE & LEACH, INC."
3043334,719068,"H.D. VEST INVESTMENT SECURITIES, INC."
3098464,90170,SIFE
2976006,1104087,ABN AMRO ROTHSCHILD LLC
3146534,1175776,SVB ALLIANT
3054723,9681,BANKERS & INVESTORS CO.
3022366,1035473,KBC PEEL HUNT INCORPORATED
3146806,1045211,"WELLS FARGO INVESTMENT SERVICES, LLC"
3102361,1132743,"MERCANTILE SECURITIES, INC."
3077058,100096,TUCKER ANTHONY INCORPORATED
3056772,746562,PHILADELPHIA CORPORATION FOR INVESTMENT SERVICES
3077049,47497,HILL THOMPSON MAGID LP
3103975,1146345,RBS SECURITIES CORPORATION
3023822,850256,"PIONEER FUNDS DISTRIBUTOR, INC."
3123085,874174,DRESDNER LATEINAMERIKA FINANCIAL ADVISORS LLC
3103162,1116108,"COMMERCE CAPITAL INVESTMENTS, INC."
3124279,1020314,"SCUDDER FINANCIAL SERVICES, INC."
3125191,88052,"DEAM INVESTOR SERVICES, INC."
3125249,1146177,"TD WATERHOUSE CAPITAL MARKETS, INC."
3080731,1093442,"R.J. THOMPSON SECURITIES, INC."
3058927,1280339,"SIMMONS FIRST INVESTMENT GROUP, INC."
3127609,1398295,"NEXITY FINANCIAL SERVICES, INC."
3152058,1171217,"NCF FINANCIAL SERVICES, INC"
3130597,1146287,PMB SECURITIES CORP
3153251,1171509,RCM DISTRIBUTORS LLC
3155817,1175218,BMO NESBITT BURNS TRADING CORP. S.A.
3086788,889557,"BOFA DISTRIBUTORS, INC."
3178405,1211014,"PLAINSCAPITAL SECURITIES, LLC"
3111130,1175031,"AMEGY INVESTMENTS, INC."
3134269,922794,WESTERN SECURITIES CLEARING CORP.
3112052,314871,"AUTRANET, LLC"
3090280,1141349,R-G INVESTMENTS CORPORATION
3134175,909841,"FIRST ALLIED SECURITIES, INC."
3135033,835444,BNY DIRECT EXECUTION INC.
3069727,895112,"GATEWAY INVESTMENT SERVICES, INC."
3182774,1146294,"MACATAWA INVESTMENT SERVICES, INC."
3093973,1026392,HARRISDIRECT LLC
3115017,804981,DFC INVESTOR SERVICES
3159039,812287,CAL FED INVESTMENTS
3196829,1021958,INTERVEST SECURITIES CORPORATION
3095605,1419154,DEXIA SECURITIES USA LLC
3197741,1115904,"SUPERIOR FINANCIAL SERVICES, INC"
3159084,1118379,"EMAT SECURITIES, INC."
3115455,915330,"GREEN MANNING & BUNCH, LTD"
3116032,1146242,SILVERTON CAPITAL CORPORATION
3142497,1023797,"WELLS FARGO INSURANCE SERVICES INVESTMENT ADVISORS, INC."
3186866,77495,"MERCANTILE BROKERAGE SERVICES, INC."
3162888,1101180,FORTIS SECURITIES LLC
3144811,846411,"FIRST SECURITY INVESTMENTS, INC."
3119051,1142173,"HARBOR FUNDS DISTRIBUTORS, INC."
3200584,1130138,UBS INTERNATIONAL INC.
3200155,783945,"FIRST CLEARING, LLC"
3166082,88535,METLIFE INVESTORS DISTRIBUTION COMPANY
3243303,1218797,"UCB INVESTMENT SERVICES, INC."
3121492,1124016,"PCBB CAPITAL MARKETS, LLC"
3270185,933064,FOCUSED INVESTMENTS L.L.C.
3203446,823140,"AMERICAN INVESTMENT SERVICES, INC."
3293250,1012058,"USALLIANZ SECURITIES, INC."
3205011,1001367,"WEXFORD CLEARING SERVICES, LLC"
3293045,805542,OCC DISTRIBUTORS LLC
3252529,886247,"METROPOLITAN WEST SECURITIES, LLC"
3294529,895496,NICHOLAS-APPLEGATE SECURITIES LLC
3229893,1249568,"GRAND DISTRIBUTION SERVICES, LLC"
3210024,1187104,"POWELLJOHNSON, INC."
3231775,1131018,"PERSIMMON SECURITIES, INC."
3266151,909847,TGH SECURITIES
3217537,820015,"CORNERSTONE FINANCIAL SERVICES, INC."
3284128,1146200,"FITZMAURICE INVESTMENT MANAGEMENT SERVICES, LLC"
3238523,749650,SOUNDVIEW TECHNOLOGY CORPORATION
3334818,788099,"STATE STREET RESEARCH INVESTMENT SERVICES, INC."
3341076,1223793,"WINDSOR GROUP, LLC"
3315442,764189,RUAN SECURITIES CORPORATION
4864536,931369,CUTWATER ASSET MANAGEMENT CORP.
4874366,800183,"STERNE AGEE FINANCIAL SERVICES, INC."
3356847,1308605,ICP SECURITIES LLC
4024376,356630,MS SECURITIES SERVICES INC.
4025346,1078015,SLK-HULL DERIVATIVES LLC
4025298,1293170,"FIRST SAVINGS SECURITIES, INC."
3365960,1142694,PALMER & CAY SECURITIES CORPORATION
4028338,1044634,"USI SECURITIES, INC."
3366529,1327892,FIMAT PREFERRED LLC
4909110,1656187,"MUFG SECURITIES (CANADA), LTD."
3371970,1276834,"IRONSTONE SECURITIES, INC."
3372043,61008,"LYNCH, JONES & RYAN, INC."
3372267,1299984,"FIRST OAK BROOK CAPITAL MARKETS, INC"
3375594,1284846,"SANTANDER INTERNATIONAL SECURITIES, INC."
3378139,1240286,"EVOLVE SECURITIES, INC."
4984788,1321594,BEL AIR SECURITIES LLC
3386442,1315845,"EHY SECURITIES (USA), LLC"
3389658,1003908,"NEOVEST TRADING, INC."
4104401,1293272,"MWAM DISTRIBUTORS, LLC"
3399246,1343507,HSH N FINANCIAL SECURITIES LLC
3408670,1053944,"CORNERSTONE INSTITUTIONAL INVESTORS, INC."
3412341,1171135,"LAVAFLOW, INC."
3413058,1038267,QUESTAR CAPITAL CORPORATION
5113503,1088402,JEFFERSON NATIONAL SECURITIES CORPORATION
4146951,1170731,HILL STREET CAPITAL LLC
5164046,1434707,"GNV ADVISORS, LLC"
4174141,1499812,PIMCO INVESTMENTS LLC
5168978,868220,"CAIN BROTHERS & COMPANY, LLC"
3434491,1344400,DVB CAPITAL MARKETS LLC
5192713,1289023,TROUT CAPITAL LLC
3441789,775156,"ALPS DISTRIBUTORS, INC."
3442254,940320,"BERRY-SHINO SECURITIES, INC."
5279230,1122005,"SFS CAPITAL, LLC"
3444687,918176,"SOUTH GROUP INVESTMENT SERVICES, INC."
5325182,704744,"BATES SECURITIES, INC."
4209977,1441458,TOS TRADING LLC
3453607,821495,"ATLAS SECURITIES, LLC"
4212575,1268311,THOMAS WEISEL PARTNERS (USA) INC.
3460771,1005134,"GLOBAL SECURITIES (USA), INC."
5375516,1441456,SILVER LANE ADVISORS LLC
3463633,1138582,"SOVEREIGN SECURITIES CORPORATION, LLC"
3474068,1146084,KNBT SECURITIES
3482670,857294,BARRINGTON ASSOCIATES
4238463,1477613,"AMUNDI DISTRIBUTORS USA, LLC"
4257530,1329806,DIRECT EDGE ECN LLC
3543825,1356724,FIRST CITIZENS SECURITIES CORPORATION
4280631,1064127,"FIRST SOUTHEAST INVESTOR SERVICES, INC."
3546648,890383,"BANORTE SECURITIES INTERNATIONAL, LTD."
4285234,37799,"CAPITAL ANALYSTS, INCORPORATED"
3548165,1367624,"SWEDBANK SECURITIES US, LLC"
4284518,27182,D.A. DAVIDSON & CO.
4286923,76886,NATIONWIDE INVESTMENT SERVICES CORPORATION
3549528,100737,"UNIFIED FINANCIAL SECURITIES, INC."
4286419,317982,"M.L. STERN & CO., LLC"
4287078,200357,"NATIONWIDE SECURITIES, LLC"
4291918,355211,"SECURITIES AMERICA, INC."
4291963,1007501,"BRECEK & YOUNG ADVISORS, INC."
4287050,859270,NATIONWIDE FUND DISTRIBUTORS LLC
4294245,743500,"BIRCHTREE FINANCIAL SERVICES, INC."
3556003,1383165,DB SECURITIES SERVICES NJ INC.
4295596,75473,"PACIFIC SELECT DISTRIBUTORS, INC."
4295701,200022,"AMERICAN FUNDS DISTRIBUTORS, INC."
4299398,59970,LINCOLN FINANCIAL ADVISORS CORPORATION
4300025,702079,"AUTO CLUB FUNDS, INC."
4300294,851591,E*TRADE CLEARING LLC
4314152,751937,CREDIT SUISSE ASSET MANAGEMENT SECURITIES LLC
3582936,724700,"RBC DANIELS, L.P."
4316231,1398497,"CERTUSSECURITIES, INC."
4313230,920806,"TEACHERS PERSONAL INVESTORS SERVICES, INC."
4317555,1174927,"LANE, BERRY & CO. INTERNATIONAL, LLC"
4318093,1085802,"EVERTRADE DIRECT BROKERAGE, INC."
4318543,1266734,"USAA FINANCIAL ADVISORS, INC."
4321431,315985,"SCOTTRADE, INC."
4323051,1456644,"STRATSTONE SECURITIES, LLC"
3598937,85937,"RYAN BECK & CO., INC."
3599233,895338,"401(K) INVESTMENT SERVICES, INC."
4339043,1336830,"LFC SECURITIES, LLC"
4339388,1046944,"SHAY FINANCIAL SERVICES, INC."
3605620,352466,"PRESIDIO FINANCIAL SERVICES, INC."
4338916,25176,COUNTRY CAPITAL MANAGEMENT COMPANY
4339025,1139077,"MWA FINANCIAL SERVICES, INC."
3603783,771486,ACS SECURITIES CORP.
4341701,1037728,STATE FARM VP MANAGEMENT CORP.
3608621,1100968,ELECTRONIC SECURITIES PROCESSING (ESP) LLC
4343198,935476,"CALVERT INVESTMENT DISTRIBUTORS, INC."
4343246,923458,"MUTUAL OF OMAHA INVESTOR SERVICES, INC."
4344784,109521,LINCOLN FINANCIAL INVESTMENT SERVICES CORPORATION
4347422,79145,"AMERICAN CENTURY INVESTMENT SERVICES, INC."
4347431,1035116,"AMERICAN CENTURY BROKERAGE, INC."
4349257,318463,"T. ROWE PRICE INVESTMENT SERVICES, INC."
4355502,1490970,"SOUTHSIDE SECURITIES, INC."
4362265,1111302,"PULSE TRADING, INC."
3628843,861678,ALLY SECURITIES LLC
3638039,1281941,SCB SECURITIES LIMITED
3637966,1378392,UMTB SECURITIES INC.
4387978,48809,"HOWE BARNES HOEFER & ARNETT, INC."
3648681,31740,"A. G. EDWARDS & SONS INSURANCE AGENCY ARKANSAS, INC."
3648748,31740,"A. G. EDWARDS & SONS INSURANCE AGENCY - MISSISSIPPI, P.A."
3648775,31740,"A. G. EDWARDS & SONS INSURANCE AGENCY - NEVADA, INC."
4399104,841664,SAL. OPPENHEIM JR. & CIE. KOMPLEMENTAER AG
3646016,105464,"ROBECO SECURITIES, L.L.C."
3648757,31740,"A. G. EDWARDS & SONS INSURANCE AGENCY - MASSACHUSETTS, INC."
3648850,31740,A. G. EDWARDS & SONS (U.K.) LIMITED
3648739,31740,"A. G. EDWARDS & SONS INSURANCE AGENCY - MISSOURI, INC."
4413019,1121244,"ONLINE BROKERAGE SERVICES, INC."
3663675,1313286,"HYPO CAPITAL MARKETS, INC."
3670048,949896,LEERINK SWANN LLC
4438384,1295232,JAPANINVEST INC.
3673601,1422727,BLACKROCK FUND DISTRIBUTION COMPANY
3679984,1358128,G-TRADE SERVICES LLC
3685060,1281016,HARRISON LOVEGROVE & CO. (WASHINGTON) LIMITED
3685097,1281016,HARRISON LOVEGROVE AMERICAS L.P.
3685042,1281016,HARRISON LOVEGROVE & CO. LIMITED
4462192,1038620,"PRINCIPAL FUNDS DISTRIBUTOR, INC."
3685921,1428558,"BMO INVESTMENT DISTRIBUTORS, LLC"
4469771,1002806,"OFS SECURITIES, INC."
3691799,1102840,"CITI ORDER ROUTING AND EXECUTION, LLC"
4468354,1275351,"WEALTH ENHANCEMENT BROKERAGE SERVICES, LLC"
3691801,920080,"AUTOMATED TRADING DESK BROKERAGE SERVICES, LLC"
3700329,1426683,"BLACKROCK CAPITAL MARKETS, LLC"
4487814,1088407,"LIQUIDPOINT, LLC"
3706910,1435535,"HIGHMARK FUNDS DISTRIBUTORS, LLC"
4488633,1356966,CONVERGEX PRIME SERVICES LLC
4487841,1295894,EZE CASTLE TRANSACTION SERVICES LLC
4528753,893588,HOWARD WEIL INCORPORATED
3753718,836558,INSTITUTIONAL DIRECT INC.
4555076,12600,PRINCOR FINANCIAL SERVICES CORPORATION
3762000,318331,BMO CAPITAL MARKETS GKST INC.
4588300,1497228,"OX TRADING, LLC"
4618403,1146265,ECM SECURITIES CORP.
4623416,1519324,"AIG GLOBAL CAPITAL MARKETS SECURITIES, LLC"
4623407,812746,AIG FINANCIAL SECURITIES CORP.
4660158,317974,"GLOBAL ATLANTIC DISTRIBUTORS, LLC"
4664222,1580447,WAKE USA LLC
4660309,855030,"E.J. DE LA ROSA & CO., INC"
4681555,716598,"GE CAPITAL MARKETS, INC."
3811131,1262024,"RICHARDSON BARR SECURITIES, INC."
3825624,69097,"WAMU INVESTMENTS, INC."
3828205,842369,"BNP PARIBAS PRIME BROKERAGE, INC."
4759744,39782,PACIFIC CREST SECURITIES LLC
3868292,31564,"FAM DISTRIBUTORS, INC."
3867875,1286312,"MERRILL LYNCH FINANCIAL MARKETS, INC."
3874501,1138683,"REVOLUTION PARTNERS, LLC"
3881862,36937,"FIRST SOUTHWEST COMPANY, LLC"
3890202,841664,SAL. OPPENHEIM JR. & CIE. SECURITIES INC.
3914591,858951,"ML PETRIE PARKMAN CO., INC."
3916148,723863,"GPC SECURITIES, INC."
3915703,201027,"ADVEST, INC."
3916090,200359,"HERZOG, HEINE, GEDULD, LLC"
3922653,740889,"CHEVY CHASE SECURITIES, INC."
3951626,1468210,"FAIRHOLME DISTRIBUTORS, LLC"
3962574,1060552,GMAC SECURITIES LLC
3971035,893677,MORGAN STANLEY DISTRIBUTORS INC.
3993671,1024711,REDI GLOBAL TECHNOLOGIES LLC
3996104,1107562,"EPOCH SECURITIES, INC."
